Year,LSOA Code,Population
2014,E01025335,1380
2014,E01025338,1587
2014,E01025339,1641
2014,E01025322,1414
2014,E01025326,1474
2014,E01025327,1386
2014,E01025342,1597
2014,E01025321,1319
2014,E01025340,1451
2014,E01025341,1177
2014,E01025343,1515
2014,E01025354,1575
2014,E01025316,1491
2014,E01025317,1216
2014,E01025325,1613
2014,E01025328,1200
2014,E01025318,1051
2014,E01025319,2114
2014,E01025333,1385
2014,E01025350,1269
2014,E01025351,2711
2014,E01025323,1120
2014,E01025324,1368
2014,E01025332,1052
2014,E01025336,1071
2014,E01025337,1569
2014,E01025352,1413
2014,E01025353,1132
2014,E01025355,2304
2014,E01025361,2067
2014,E01025362,2051
2014,E01025393,1378
2014,E01025363,1356
2014,E01025364,1291
2014,E01025366,1503
2014,E01025395,1511
2014,E01025396,1387
2014,E01025397,1710
2014,E01025398,1488
2014,E01025367,1779
2014,E01025368,1561
2014,E01025369,1243
2014,E01025381,1483
2014,E01025382,1747
2014,E01025383,2532
2014,E01025356,1546
2014,E01025373,1695
2014,E01025385,1269
2014,E01025387,1310
2014,E01033281,2742
2014,E01025377,1474
2014,E01025378,1542
2014,E01025379,1401
2014,E01025380,1527
2014,E01025357,1361
2014,E01025358,2228
2014,E01025365,1477
2014,E01025384,1251
2014,E01025359,1573
2014,E01025360,2116
2014,E01025375,1665
2014,E01025376,2211
2014,E01025371,1434
2014,E01025374,1463
2014,E01025391,1457
2014,E01025392,1201
2014,E01025394,1602
2014,E01025370,1242
2014,E01025388,1504
2014,E01025389,1312
2014,E01025390,1110
2014,E01025424,1272
2014,E01025425,1396
2014,E01025426,1241
2014,E01025466,1503
2014,E01025413,1809
2014,E01025414,1560
2014,E01025456,1310
2014,E01025458,1455
2014,E01025408,1467
2014,E01025409,1301
2014,E01025410,1378
2014,E01025467,2000
2014,E01025403,2118
2014,E01025457,1413
2014,E01025463,1364
2014,E01025464,1263
2014,E01025465,1101
2014,E01025411,2072
2014,E01025448,1576
2014,E01025449,1023
2014,E01025450,903
2014,E01025412,1480
2014,E01025427,1269
2014,E01025428,1641
2014,E01025429,1425
2014,E01025404,1222
2014,E01025405,1176
2014,E01025406,1282
2014,E01025407,1950
2014,E01025399,1559
2014,E01025400,1908
2014,E01025401,1475
2014,E01025402,1378
2014,E01025442,1098
2014,E01025443,1169
2014,E01025444,1251
2014,E01025461,2005
2014,E01025462,1748
2014,E01025439,1442
2014,E01025453,1544
2014,E01025454,1295
2014,E01025455,1419
2014,E01025436,2171
2014,E01025437,1828
2014,E01025438,1338
2014,E01025440,1453
2014,E01025441,1373
2014,E01025417,1459
2014,E01025418,1449
2014,E01025419,1525
2014,E01025420,2735
2014,E01025421,2456
2014,E01025422,1339
2014,E01025431,1775
2014,E01025433,1714
2014,E01025416,1492
2014,E01025451,1956
2014,E01025452,1698
2014,E01025415,2181
2014,E01025423,1288
2014,E01025435,1508
2014,E01025446,1520
2014,E01025430,1959
2014,E01025434,1945
2014,E01032928,2202
2014,E01032929,1048
2014,E01025445,1412
2014,E01025447,1241
2014,E01025459,1741
2014,E01025460,2049
2014,E01025496,1160
2014,E01025497,1541
2014,E01025498,1243
2014,E01025530,1438
2014,E01025532,1531
2014,E01025533,1635
2014,E01025507,1485
2014,E01025508,1359
2014,E01025509,1175
2014,E01025513,1984
2014,E01025531,1143
2014,E01025474,1233
2014,E01025495,2055
2014,E01025514,2315
2014,E01025515,1614
2014,E01025483,2248
2014,E01025484,2011
2014,E01025485,1672
2014,E01025486,1594
2014,E01025487,1648
2014,E01025510,1372
2014,E01025511,1164
2014,E01025512,1261
2014,E01025538,1548
2014,E01025539,1367
2014,E01025499,1405
2014,E01025501,1111
2014,E01025502,1584
2014,E01025516,1533
2014,E01025517,1580
2014,E01025519,1222
2014,E01025488,2658
2014,E01025489,1364
2014,E01025490,1688
2014,E01025500,1504
2014,E01025518,1488
2014,E01025479,1965
2014,E01025491,1916
2014,E01025506,1963
2014,E01025468,1663
